City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
253,Butembo,0.15,29.2833,60.12,86,91,2.39,CD,overcast clouds
254,Comodoro Rivadavia,-45.8667,-67.5,46.26,34,40,25.32,AR,scattered clouds
255,Rawson,-43.3002,-65.1023,49.03,40,68,23.69,AR,broken clouds
256,Abu Samrah,35.3029,37.1841,81.9,36,0,13.62,SY,clear sky
257,Aneho,6.2333,1.6,77.2,76,19,15.57,TG,few clouds
258,Santa Cruz,-17.8,-63.1667,87.85,42,75,26.46,BO,broken clouds
259,Laguna,38.421,-121.4238,93.02,44,0,5.75,US,clear sky
260,Panjab,34.388,67.0233,67.44,19,8,4.99,AF,clear sky
261,Artyom,40.4723,50.333,77.23,75,3,26.66,AZ,clear sky
262,Kemijarvi,66.7131,27.4306,69.76,58,97,5.32,FI,overcast clouds
263,Tabou,4.423,-7.3528,75.87,74,100,8.57,CI,overcast clouds
264,Talcahuano,-36.7167,-73.1167,55.08,88,75,4.61,CL,broken clouds
265,Lowestoft,52.4752,1.7516,67.33,75,62,12.77,GB,broken clouds
266,Novyy Urengoy,66.0833,76.6333,44.13,83,100,8.84,RU,overcast clouds
267,Chancay,-11.5714,-77.2672,65.25,73,66,9.4,PE,broken clouds
268,Bokoro,12.3807,17.0568,88.32,54,73,3.36,TD,broken clouds
269,Castro,-24.7911,-50.0119,71.91,54,6,7.02,BR,clear sky
270,Katima Mulilo,-17.5,24.2667,64.45,47,66,4.92,NA,broken clouds
271,Raudeberg,61.9875,5.1352,54.27,86,89,6.24,NO,overcast clouds
272,Varnavino,57.4035,45.0916,58.24,85,53,5.26,RU,broken clouds
273,Monrovia,6.3005,-10.7969,77.25,76,98,13.76,LR,overcast clouds
274,Dingle,10.9995,122.6711,77.29,91,100,5.95,PH,overcast clouds
275,Kabarnet,0.4919,35.743,56.7,88,98,4.59,KE,light rain
276,Denizli,37.8402,29.0698,78.57,29,0,11.43,TR,clear sky
277,Piacabucu,-10.4056,-36.4344,78.8,66,81,8.37,BR,broken clouds
278,Quatre Cocos,-20.2078,57.7625,69.91,73,67,20.45,MU,light rain
279,Kisanga,-7.4362,37.7034,73.9,61,90,3.2,TZ,overcast clouds
280,Dalvik,65.9702,-18.5286,51.73,77,95,3.09,IS,overcast clouds
281,Capitao Poco,-1.7464,-47.0594,90.07,48,57,1.77,BR,broken clouds
282,Igarka,67.4667,86.5833,51.78,82,49,8.88,RU,scattered clouds
283,Bayir,37.2687,28.2167,86.52,20,0,9.1,TR,clear sky
284,Tacoronte,28.4769,-16.4102,82.45,63,20,17.27,ES,fog
285,Beruwala,6.4788,79.9828,78.89,87,100,13.71,LK,overcast clouds
286,Potosi,-19.5836,-65.7531,63.46,25,80,9.22,BO,broken clouds
287,Provins,48.5833,3.1667,77.36,36,18,7.16,FR,few clouds
288,Kargasok,59.0556,80.8572,58.48,93,100,3.36,RU,light rain
289,Taua,-5.9667,-40.3,81.18,50,98,6.98,BR,overcast clouds
290,Ciudad Bolivar,8.1222,-63.5497,88.97,55,80,8.28,VE,broken clouds
291,Marsa Matruh,31.3525,27.2453,77.77,68,0,9.06,EG,clear sky
292,Bhainsa,26.9548,76.9012,84.74,73,100,7.29,IN,overcast clouds
293,Nanortalik,60.1432,-45.2371,52.41,71,5,14.29,GL,clear sky
294,Corinto,37.9407,22.9573,82.89,35,0,3.04,GR,clear sky
295,Quibdo,5.6947,-76.6611,80.94,78,75,5.75,CO,broken clouds
296,Pipri,19.8,75.5333,75.78,88,75,4.61,IN,broken clouds
297,Kokemaki,61.2565,22.3564,80.38,62,85,6.96,FI,overcast clouds
298,Bell Ville,-32.6259,-62.6887,69.8,33,100,11.54,AR,overcast clouds
299,Abaetetuba,-1.7181,-48.8825,83.34,65,48,2.71,BR,scattered clouds
300,Surt,31.2089,16.5887,80.11,62,0,12.48,LY,clear sky
301,Urumqi,43.801,87.6005,74.35,29,0,4.47,CN,clear sky
302,Bellinzona,46.1928,9.017,97.65,45,12,2.3,CH,few clouds
303,Kenitra,34.261,-6.5802,81.36,55,68,6.91,MA,broken clouds
304,Puerto Maldonado,-12.6,-69.1833,88.2,51,40,4.61,PE,scattered clouds
305,Izhma,65.0083,53.9113,64.49,60,80,4.7,RU,broken clouds
306,Ancud,-41.8697,-73.8203,41.23,83,100,12.77,CL,light rain
307,Ampanihy,-24.7,44.75,65.28,62,39,7.94,MG,scattered clouds
308,Dakar,14.6937,-17.4441,86.13,74,75,6.91,SN,broken clouds
309,Abu Zabad,12.35,29.25,72.7,80,100,2.77,SD,overcast clouds
310,Golyshmanovo,56.3979,68.3728,57.87,95,100,8.61,RU,overcast clouds
311,Mahajanga,-15.7167,46.3167,75.22,53,20,11.5,MG,few clouds
312,Anamur,36.0751,32.8369,83.19,45,0,9.48,TR,clear sky
313,Saint Anthony,45.0205,-93.218,85.01,38,0,18.41,US,clear sky
314,Jodar,37.8406,-3.3526,97.99,17,0,10.6,ES,clear sky
315,Camacha,33.0833,-16.3333,69.22,68,75,12.66,PT,broken clouds
316,Trairi,-3.2778,-39.2689,81.3,72,82,10.31,BR,broken clouds
317,Mariental,-24.6333,17.9667,62.96,24,0,10.54,NA,clear sky
318,Harper,4.375,-7.7169,76.78,68,70,8.19,LR,broken clouds
319,Mayor Pablo Lagerenza,-19.9309,-60.7718,95.45,17,50,18.34,PY,scattered clouds
320,General Salgado,-20.6483,-50.3606,88.16,21,23,9.1,BR,few clouds
321,Yarada,17.65,83.2667,84.52,79,75,2.3,IN,mist
322,Bandarbeyla,9.4942,50.8122,76.1,82,62,29.89,SO,broken clouds
323,Fortuna,40.5982,-124.1573,58.66,80,73,6.73,US,broken clouds
324,Conde,-7.2597,-34.9075,74.66,94,75,13.8,BR,broken clouds
325,Karaton,-6.3424,106.1045,73.49,93,84,1.43,ID,broken clouds
326,Sangre Grande,10.5835,-61.1177,86.18,78,51,12.3,TT,broken clouds
327,Stokmarknes,68.5646,14.9108,55.38,76,75,11.5,NO,broken clouds
328,Goderich,43.7501,-81.7165,77.32,73,8,9.22,CA,clear sky
329,Sochaczew,52.2294,20.2384,86.2,48,44,6.89,PL,scattered clouds
330,Springbok,-29.6643,17.8865,54.95,38,0,6.62,ZA,clear sky
331,Bara,10.3744,10.7288,78.24,70,46,0.45,NG,scattered clouds
332,Loum,4.7182,9.7351,71.87,97,89,1.39,CM,light rain
333,Bilma,18.6853,12.9164,93.47,31,64,15.73,NE,broken clouds
334,Ghazipur,25.5833,83.5667,82.94,82,100,3.91,IN,overcast clouds
335,Viedma,-40.8135,-62.9967,54.05,19,86,20.02,AR,overcast clouds
336,Umea,63.8284,20.2597,66.13,88,75,3.44,SE,broken clouds
337,Koping,59.514,15.9926,85.5,48,87,5.17,SE,overcast clouds
338,Camana,-16.6228,-72.7111,62.38,78,94,7.83,PE,overcast clouds
339,Emba,48.8264,58.1442,78.17,28,94,9.82,KZ,overcast clouds
340,Tucurui,-3.7661,-49.6725,89.42,44,38,5.97,BR,scattered clouds
341,Taltal,-25.4,-70.4833,61.7,76,16,6.02,CL,few clouds
342,Havelock,34.8791,-76.9013,91.98,81,75,20.71,US,broken clouds
343,Ouadda,8.0777,22.4007,70.48,92,86,0.18,CF,overcast clouds
344,Yara,20.2753,-76.9533,91.18,53,19,3.94,CU,few clouds
